GRB	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	Redshift
121128A	23.3	69	4	12.9	0.4	1.32, PL	0.18	20:02:24.00	54:17:58.7	2.20 (Gemini North: absorption)
121027A	62.6	20	1	1.3	0.2	1.82, PL	0.09	04:14:23.47	-58:49:46.8	1.773 (arXiv:1302.2352v1)|1.77 (Gemini-South: absorption)|1.773 (VLT: emission and absorption)
121024A	69	11	1	1.3	0.2	1.41, PL	0.22	04:41:53.30	-12:17:25.9	2.298 (VLT: absorption)
120922A	173	62	7	2.0	0.2	1.58, CPL	0.36	15:38:59.65	-20:10:55.5	3.1 (MPG/ESO :photometric)
120909A	n/a	68	2	1.8	0.3	1.39, PL	0.06	18:22:56.77	-59:26:55.0	3.93 (VLT: absorption)
120907A	16.9	6.7	1.1	2.9	0.4	1.73, PL	0.25	04:59:00.00	-09:18:53.6	0.970 (OSIRIS/GTC: absorption)
120815A	9.7	4.9	0.7	2.2	0.3	2.29, PL	0.23	18:15:49.92	-52:07:53.1	2.358 (VLT/X-shooter: absorption)
120811C	26.8	30	3	4.1	0.2	1.40, CPL	0.30	13:18:43.94	62:18:02.1	2.671 (GTC: absorption)|2.67 {NOT: absorption)
120805A	48.00	8.2	1.4	0.37	0.2	1.20, PL	0.28	14:26:09.21	05:49:30.9	3.1 (arXiv:1503.05323v1)
120802A	50	19	3	3.0	0.2	1.21, CPL	0.47	02:59:22.22	13:46:06.0	3.796 (Gemini-North: absorption)
120729A	71.5	24	1	2.9	0.2	1.62, PL	0.08	00:52:17.89	49:56:22.6	0.80 (Gemini-North: absorption)
120724A	72.8	6.8	1.1	0.6	0.2	0.53, CPL	1.53	16:20:43.23	03:30:28.5	1.48 (Gemini-North: absorption, tentative)
120722A	42.4	12	2	1.0	0.3	1.90, PL	0.25	15:21:59.18	13:15:03.8	0.9586 (VLT: emission from host)
120714B	159	12	1	0.4	0.1	1.52, PL	0.17	n/a	n/a	0.3984 (VLT: absorption)
120712A	14.7	18	1	2.4	0.2	1.36, PL	0.08	11:18:21.22	-20:02:02.3	4.0 (MPG/ESO: photo-z)|4.15 (Gemini-South: absorption)| 4.1745 (VLT: absorption)
120521C	26.7	11	1	1.9	0.2	1.73, PL	0.11	14:17:08.73	42:08:41.0	~6.0 (Gemini-North: redshift estimate)
120422A	5.35	2.3	0.4	0.6	0.2	1.19, PL	0.24	09:07:38.42	14:01:06.0	0.28 (Gemini-North: emission)|0.283 (VLT: emission)
120404A	38.7	16	1	1.2	0.2	1.85, PL	0.13	15:40:02.34	12:53:05.9	2.876 (Gemini-North: absorption)|~2.88 (VLT/UT2: absorption)
120327A	62.9	36	1	3.9	0.2	1.52, PL	0.06	16:27:27.50	-29:24:54.1	2.81 (Gemini-South: absorption)|2.813 (VLT/UT2: absorption)| 2.813 (GTC: absorption)
120326A	69.6	26	3	4.6	0.2	1.41, CPL	0.34	18:15:37.12	69:15:35.5	1.798 (GTC: absorption)
120119A	253.8	170	0	10.3	0.3	1.38, PL	0.04	08:00:06.91	-09:04:54.3	1.728 (Gemini-South: absorption)|1.73 (Lick: absorption)|1.728 (MMT: absorption)
120118B	23.26	18	1	2.2	0.3	2.08, PL	0.11	08:19:29.04	-07:11:05.1	2.943 (Keck I: emission)
111229A	25.4	3.4	0.7	1.0	0.2	1.85, PL	0.33	05:05:09.56	-84:42:39.7	1.3805 (Gemini-South: absorption)
111228A	101.20	85	2	12.4	0.5	2.27, PL	0.06	10:00:16.10	18:17:52.2	0.714 (MMT: absorption)|0.716 (Gemini-South: absorption)| 0.7156 (TNG: absorption)|0.713 (NOT: absorption)|0.71627 (VLT: absorption)
111225A	106.8	13	1.2	0.7	0.1	1.70, PL	0.15	00:52:37.32	51:34:18.3	0.297 (GTC: absorption)
111209A	n/a	360	10	0.5	0.1	1.48, PL	0.03	00:57:22.63	-46:48:03.7	0.677 (arXiv:1302.2352v1)|0.677 (VLT: absorption)
111123A	290.0	73	3	0.9	0.1	1.68, PL	0.07	10:19:23.13	-20:38:41.0	3.1516 (VLT: emission from host)
111107A	26.6	8.8	0.8	1.2	0.2	1.49, PL	0.14	08:37:54.39	-66:31:11.3	2.893 (Gemini-South: absorption)| Consistent with Gemini-South (VLT: absorption)
111008A	63.46	53	3	6.4	0.7	1.86, PL	0.09	04:01:48.23	-32:42:33.5	5.0 (Gemini-South: absorption)|4.9898 (VLT: absorption)
110818A	103	40	2	1.6	0.3	1.58, PL	0.11	21:09:20.87	-63:58:51.7	3.36 (VLT: absorption)
110808A	48	3.3	0.8	0.4	0.2	2.32, PL	0.43	03:49:04.22	-44:11:41.7	1.348 (VLT: emission)
110801A	385	47	3	1.1	0.2	1.84, PL	0.10	05:57:44.63	80:57:22.7	1.858 (GTC: absorption)
110731A	38.8	60	1	11.0	0.3	1.15, PL	0.05	18:42:01.04	-28:32:13.7	2.83 (Gemini-North: absorption)
110726A	5.2	2.2	0.3	1.0	0.2	0.64, CPL	0.87	19:06:52.16	56:04:16.0	1.036 < z < 2.7 (Gemini-North)
110715A	13.0	118	2	53.9	1.1	1.25, CPL	0.12	15:50:44.06	-46:14:07.1	0.82 (VLT: absorption)
110503A	10.0	100	4	1.35	0.06	0.88, CPL	0.25	08:51:06.28	52:12:26.8	1.613 (GTC: absorption)|1.61 (TNG: absorption), PAIRITEL (1.3m)
110422A	25.9	410	10	30.7	1.0	0.86, CPL	0.10	07:28:11.33	75:06:24.4	1.77 (TNG: absorption)| 1.770 (GTC: absorption)
110213A	48.0	59	4	1.6	0.6	1.83, PL	0.12	02:51:51.48	49:16:22.5	1.46 (Bok: absorption)
110205A	257	170	0	3.6	0.2	1.80, PL	0.04	10:58:31.05	67:31:30.2	1.98 (Lick: absorption, possible)|2.22 (FLWO: absorption, host)| 2.22 (NOT: absorption)
110128A	30.7	7.2	1.4	0.8	0.2	1.31, PL	0.30	12:55:35.13	28:03:54.4	2.339 (VLT: absorption)
101225A	1088.0	19	4	0.0	0.0	1.82, PL	0.32	00:00:47.51	44:36:01.1	0.847(arXiv:1302.2352v1)|0.40 (Keck I: emission)
101219B	34	21	4	0.6	0.3	1.56, PL	0.16	00:48:55.42	-34:34:00.4	0.5519 (ESO-VLT: tentative redshift)
101219A	0.6	4.6	0.3	4.1	0.2	0.63, PL	0.09	04:58:20.49	-02:32:23.0	0.718 (Gemini-North: emission, host)
100906A	114.4	120	0	10.1	0.4	1.78, PL	0.03	01:54:44.11	55:37:49.4	1.727 (Gemini-North: absorption)
100902A	428.8	32	2	1.0	0.1	1.98, PL	0.13	03:14:30.98	30:58:44.2	4.5 (Swift XRT: tentative redshift)
100901A	439	21	3	0.8	0.2	1.52, PL	0.21	01:49:03.49	22:45:30.3	1.408 (Gemini-North: absorption, host redshift)
100816A	2.9	20	1	10.9	0.4	0.73, CPL	0.24	23:26:57.58	26:34:42.2	0.8034 (VLT: emission and absorption)|0.8035 (Gemini-North: absorption)|0.8049 (GTC: absorption)
100814A	174.5	90	2	2.5	0.2	1.47, PL	0.04	01:29:53.59	-17:59:43.8	1.44 (Magellan: absorption)
100728B	12.1	17	1	3.5	0.5	1.55, PL	0.14	02:56:13.50	00:16:51.8	~2.8 (UVOT: photometric)|2.106 (VLT: absorption)
100728A	198.5	380	0	5.1	0.2	1.18, PL	0.02	05:55:01.99	-15:15:19.6	1.567 (VLT: emission, host)
100724A	1.4	1.6	0.2	1.9	0.2	1.92, PL	0.21	12:58:10.37	-11:06:09.4	1.288 (VLT: absorption)
100704A	197.5	60	2	4.3	0.2	1.73, PL	0.06	08:54:33.96	-24:12:10.1	3.6 (Swift: tentative redshift)
100621A	63.6	210	0	12.8	0.3	1.90, PL	0.03	21:01:13.11	-51:06:23.0	0.542 (VLT: emission)
100615A	39	50	1	5.4	0.2	1.87, PL	0.04	11:48:49.30	-19:28:52.2	1.398 (VLT: emission, host)
100513A	84	14	1	0.6	0.1	1.62, PL	0.14	11:18:26.85	03:37:40.5	4.772 (Gemini North: absorption)
100425A	37.0	4.7	0.9	1.4	0.2	2.42, PL	0.32	19:56:47.16	-26:25:50.9	1.755 (VLT: absorption)
100424A	104	15	1	0.4	0.1	1.83, PL	0.13	13:57:47.48	01:32:18.6	2.465 (VLT: emission, host)
100418A	7.0	3.4	0.5	1.0	0.2	2.16, PL	0.25	17:05:27.22	11:27:40.0	0.6235 (VLT: absorption)|0.624 (Gemini North: absorption)
100413A	191	62	2	0.7	0.1	1.25, PL	0.07	17:44:53.14	15:50:03.1	3.9 (Swift-XRT: tentative)
100316D	n/a	3.0	0.8	0.1	0.0	2.29, PL	0.41	07:10:30.63	-56:15:19.7	0.014
100316B	3.8	2.0	0.2	1.3	0.1	2.23, PL	0.18	10:53:57.24	-45:28:20.5	1.180 (VLT: absorption)
100302A	17.9	3.1	0.4	0.5	0.1	1.72, PL	0.19	13:02:03.87	74:35:24.5	4.813 (Gemini-North: absorption)
100219A	18.8	3.7	0.6	0.4	0.1	1.34	0.25	10:16:48.52	-12:33:59.6	4.5 (MPI/ESO: photometric)|4.6667 (VLT: absorption)|4.7 (Gemini South: absorption)
091208B	14.9	33	2	15.2	1.0	1.74, PL	0.11	01:57:34.13	16:53:23.1	1.063 (Gemini North: absorption)|1.0633 (Keck I: absorption)
091127	7.1	90	3	46.5	2.7	2.05, PL	0.07	02:26:19.91	-18:57:08.1	0.490 (Gemini-North: emission)|0.49034 (VLT: emission)
091109A	48	16	2	1.3	0.4	1.31, PL	0.25	20:37:01.87	-44:09:31.0	3.5 (ESO/MPI: photometric)|3.076 (VLT: absorption)
091029	39.2	24	1	1.8	0.1	1.46, CPL	0.27	04:00:42.63	-55:57:19.6	2.752 (Gemini-South: absorption)
091024	109.8	61	3	2.0	0.3	1.20, PL	0.08	n/a	n/a	1.092 (Gemini-North)|1.091 (Keck I: absorption)
091020	34.6	37	1	4.2	0.3	1.53, PL	0.07	11:42:55.23	50:58:42.5	1.71 (NOT)
091018	4.4	14	1	10.3	0.4	1.77, CPL	0.24	02:08:44.57	-57:32:53.4	0.971 (Magellan Clay: absorption)|0.9710 (VLT: absorption)
090927	2.2	2.0	0.3	2.0	0.2	1.80, PL	0.20	22:55:53.44	-70:58:48.9	1.37 (VLT: absorption)
090926B	109.7	73	2	3.2	0.3	0.52, CPL	0.24	03:05:13.95	-39:00:21.6	1.24 (VLT: emission & absorption)
090814A	80	13	2	0.6	0.2	1.81, PL	0.19	15:58:26.46	25:37:51.6	0.696 < z < 2.2 (VLT: absorption)
090812	66.7	58	2	3.6	0.2	1.24, PL	0.05	23:32:48.56	-10:36:17.5	2.452 (VLT: absorption)
090809	5.4	3.4	0.5	1.1	0.2	1.34, PL	0.24	21:54:43.20	-00:05:01.4	2.737 (VLT)
090726	67.0	8.6	1.0	0.7	0.2	2.25, PL	0.19	16:34:43.29	72:53:03.1	2.71 (SAO RAS: absoption)
090715B	266	57	2	3.8	0.2	1.57, PL	0.07	16:45:21.57	44:50:20.0	3.00 (WHT)
090618	113.2	1050	10	38.9	0.8	1.42, CPL	0.08	19:35:58.47	78:21:24.4	0.54 (Lick: absorption)|0.54 (SAO RAS: emission)
090530	48	11	1	2.5	0.3	1.61, PL	0.17	11:57:40.48	26:35:36.9	~1.266 (VLT)
090529	>100	6.8	1.7	0.4	0.1	2.00, PL	0.3	14:09:52.56	24:27:32.2	2.625 (VLT: absorption)
090519	64	12	1	0.6	0.2	1.02, PL	0.20	09:29:06.98	00:10:48.4	3.9 (ESO/MPI: photometric)|3.85 (VLT: absorption)
090516A	210	90	6	1.6	0.2	1.84, PL	0.11	09:13:02.52	-11:51:15.9	4.109 (VLT: absorption)|4.1 (ESO/MPI: photometric)
090510	0.3	3.4	0.4	9.7	1.1	0.98, PL	0.20	22:14:12.55	-26:34:59.3	0.903 (VLT: emission)
090426	1.2	1.8	0.3	2.4	0.3	1.93, PL	0.22	12:36:18.07	32:59:08.8	2.609 (Keck-I: absorption)|2.609 (VLT: absorption)
090424	48	210	0.0	71.0	2.0	1.19, CPL	0.15	12:38:05.12	16:50:15.6	0.544 (Gemini-South: absorption)|0.544 (WHT)
090423	10.3	5.9	0.4	1.7	0.2	0.80, CPL	0.50	09:55:33.26	18:08:57.9	8.0 (MPI/ESO: photometric)|~8.1 (TNG)
090418A	56	46	2	1.9	0.3	1.48, PL	0.07	17:57:15.17	33:24:21.3	1.608 (Lick: absorption)
090407	310	11	2	0.6	0.1	1.73, PL	0.29	04:35:55.07	-12:40:45.1	1.4485 (TOUGH: emission)
090313	79	14	2	0.8	0.3	1.91, PL	0.29	13:13:36.25	08:05:50.2	3.375 (Gemini-South: absorption)|3.375 (VLT: absorption)|3.3721 (Melipal: absorption)
090205	8.8	1.9	0.3	0.5	0.1	2.15, PL	0.23	14:43:38.61	-27:51:10.4	4.7 (ESO/MPI: photometric)|4.6497 (VLT: absorption)
090113	9.1	7.6	0.4	2.5	0.2	1.60, PL	0.10	02:08:13.80	33:25:42.3	1.7493 (TOUGH: emission)
090102	27.0	0.68	0.03	5.5	0.8	1.36, PL	0.08	08:32:58.56	33:06:51.0	1.547 (NOT)|1.546 (Palomar 200": absorption)|1.55 (Hobby-Eberly: absorption)
081222	24	48	1	7.7	0.2	1.08, CPL	0.15	01:30:57.69	-34:05:43.0	~2.7 (UVOT)|2.77 (Gemini-South: absorption)|2.77 (Gemini-North: absorption)
081221	34	181	3	18.2	0.5	1.21, CPL	0.13	01:03:10.25	-24:32:53.3	2.26 (Salvaterra)
081203A	294	77	3	2.9	0.2	1.54, PL	0.06	15:32:07.71	63:31:15.0	2.1 (UVOT: absorption)
081121	14	41	3	4.4	1.0	0.43, CPL	0.54	05:57:06.09	-60:36:10.0	2.512 (Magellan/Clay: aborption)
081118	67	12	1	0.6	0.2	2.10, PL	0.16	05:30:22.14	-43:18:04.0	2.58 (VLT: absorption)
081029	270	21	2	0.5	0.2	1.43, PL	0.18	23:07:05.58	-68:09:20.2	3.8479 (VLT: absorption, host)|3.847 (Gemini-South: absorption)
081028A	260	37	2	0.5	0.1	1.25, PL	0.38	08:07:34.76	02:18:29.8	3.038 (Magellan/Clay: absorption)
081008	185.5	43	2	1.3	0.1	1.69, PL	0.07	18:39:49.92	-57:25:54.7	1.9685 (VLT: absorption)|1.967 (Gemini-South: absorption)
081007	10.0	7.1	0.8	2.6	0.4	2.51, PL	0.20	22:39:50.48	-40:08:49.6	0.5295 (Gemini-South: absorption)
080928	280	25	2	2.1	0.1	1.77, PL	0.12	06:20:16.82	-55:11:58.8	1.692 (VLT: absorption)|1.69 (Gemini-South: absorption)
080916A	60	40	1	2.7	0.2	1.17, CPL	0.21	22:25:06.33	-57:01:22.7	0.689 (VLT: absorption and emission)
080913	8	5.6	0.6	1.4	0.2	0.46, CPL	0.70	04:22:54.71	-25:07:46.7	6.44 (ESO/MPI: photometric)|6.7 (VLT)
080906	147	35	2	1.0	0.2	1.59, PL	0.09	15:12:10.84	-80:31:05.1	2.0 (UVOT: photometric)
080905B	128	18	2	0.5	0.1	1.78, PL	0.15	20:06:57.93	-62:33:46.3	2.374 (VLT: absorption)
080905A	1.0	1.4	0.2	1.3	0.2	0.85, PL	0.24	19:10:41.78	-18:52:48.6	0.1218 (emission from host)
080810	106	46	2	2.0	0.2	1.34, PL	0.06	23:47:10.54	00:19:11.2	3.35 (Keck: absorption)|3.35 (RTT150: absorption)|3.35 (NOT: absorption)
080805	78	25	1	1.1	0.1	1.53, PL	0.07	20:56:53.45	-62:26:40.7	1.505 (VLT: absorption)
080804	34	36	2	3.1	0.4	1.19, PL	0.09	21:54:40.11	-53:11:05.3	2.2045 (VLT: absorption)|2.20 (Gemini-South: absorption)
080721	16.2	120	10	20.9	1.8	1.11, PL	0.08	14:57:55.85	-11:43:24.9	2.602 (TNG: absorption)|2.591 (NOT: absorption)
080710	120	14	2	1.0	0.2	1.47, PL	0.23	00:33:05.64	19:30:05.7	0.845 (Gemini-South: absorption)
080707	27.1	5.2	0.6	1.0	0.1	1.77, PL	0.19	02:10:28.41	33:06:34.2	1.23 (VLT: absorption)
080607	79	240	0.0	23.1	1.1	1.31, PL	0.04	12:59:47.21	15:55:09.4	3.036 (Keck I)
080605	20	133	2	19.9	0.6	1.11, CPL	0.14	17:28:30.05	04:00:56.4	1.6398 (VLT: absorption)
080604	82	8.0	0.9	0.4	0.1	1.78, PL	0.18	15:47:51.68	20:33:28.3	1.416 (Gemini-North: absorption)
080603B	60	24	1	3.5	0.2	1.21, CPL	0.30	11:46:07.62	68:03:39.5	2.69 (NOT)|2.69 (Hobby-Eberly: absorption)
080520	2.8	0.55	0.17	0.5	0.1	2.90, PL	0.51	18:40:46.35	-54:59:30.5	1.545 (VLT: emission)
080516	5.8	2.6	0.4	1.8	0.3	1.82, PL	0.27	08:02:34.20	-26:09:35.3	3.2 (MPI/ESO: photometric)
080430	16.2	12	1	2.6	0.2	1.73, PL	0.09	11:01:14.73	51:41:07.8	~0.75 (Calar Alto: absorption, probable)|0.767 (Hobby-Eberly: absorption)
080413B	8.0	32	1	18.7	0.8	1.26, CPL	0.27	21:44:34.59	-19:58:51.7	1.10 (VLT: absorption)|1.10 (Gemini-South: absorption)
080413A	46	35	1	5.6	0.2	1.57, PL	0.06	19:09:11.69	-27:40:40.0	2.433 (VLT: absorption)|2.43 (Gemini-South: absorption)
080411	56	264	1	43.2	0.9	1.75, PL	0.03	02:31:54.84	-71:18:08.8	1.03 (VLT: absorption)
080330	61	3.4	0.8	0.9	0.2	2.53, PL	0.45	n/a	n/a	1.51 (NOT: absorption)|1.51 (Hobby-Eberly: absorption)
080319C	34	36	1	5.2	0.3	1.37, PL	0.07	17:15:55.46	55:23:31.4	1.95 (Gemini-North: absorption)
080319B	>50	810	10	24.8	0.5	1.04, PL	0.02	14:31:41.04	36:18:08.7	0.937 (VLT Kueyen: absorption)|0.937 (Hobby-Eberly: absorption)
080310	365	23	2	1.3	0.2	2.32, PL	0.16	14:40:13.83	-00:10:30.7	2.4266 (Lick: absorption)|2.42 (Magellan: absorption)|2.43 (VLT-Kueyen: absorption)|2.4266 (Keck: absorption)
080210	45	18	1	1.6	0.2	1.77, PL	0.12	16:45:04.01	13:49:36.2	2.641 (VLT: absorption)|2.64 (Hobby-Eberly: absorption)
080207	340	61	2	1.0	0.3	1.17, CPL	0.27	13:50:02.93	07:30:07.9	2.0858 (TOUGH: emission)
071227	1.8	2.2	0.3	1.6	0.2	0.99, PL	0.22	03:52:31.20	-55:59:03.1	0.383 (VLT: emission, host redshift)|0.384 (Magellan: emission, host redshift)
071122	68.7	5.8	1.1	0.4	0.2	1.77, PL	0.31	18:26:25.26	47:04:30.5	1.14 (Gemini North: absorption)
071117	6.6	24	1	11.3	0.4	1.57, PL	0.06	22:20:10.54	-63:26:35.9	1.331 (VLT: emission)
071112C	15	30	4	8	1	1.09, PL	0.07	02:36:50.97	28:22:16.7	0.8230 (VLT: absorption)|0.823 (Gemini North: absorption)
071031	180	9.0	1.3	0.5	0.1	2.42, PL	0.29	00:25:37.38	-58:03:33.1	2.692 (VLT)
071028B	55	2.5	0.8	1.4	0.5	1.45, PL	0.25	n/a	n/a	0.94 (Paranal: host, photometric)
071021	225	13	2	0.7	0.1	1.70, PL	0.21	n/a	n/a	2.4520 (TOUGH: emission)
071020	4.2	23	1	8.4	0.3	1.11, PL	0.05	n/a	n/a	>2.145 (VLT: absorption)|2.142 (BTA: absorption)
071010B	>35.7	44	1	7.7	0.3	1.53, CPL	-0.22/0.22	n/a	n/a	0.947 (Gemini North: absorption)|0.947 (Keck I: absorption)|0.947 (Keck II: absorption)
071010A	6	2.0	0.4	0.8	0.3	2.33, PL	0.37	n/a	n/a	0.98 (Keck I: absorption)
071003	150	83	3	6.3	0.4	1.36, PL	0.07	n/a	n/a	1.100 (Keck I: absorption)|>0.937 (VLT: absorption)
070810A	11.0	6.9	0.6	1.9	0.2	2.04, PL	0.14	12:39:51.24	10:45:03.2	2.17 (Keck I: absorption)
070802	16.4	2.8	0.5	0.4	0.1	1.79, PL	0.27	02:27:35.78	-55:31:39.5	2.45 (VLT)
070724A	0.4	0.3	0.07	1.0	0.2	1.81, PL	0.33	01:51:14.05	-18:35:39.9	0.457 (Gemini South: emission, from host)|0.457 (VLT: emission, from host)
070721B	340	36	2	1.5	0.3	1.34, PL	0.11	02:12:32.93	-02:11:39.6	proposed redshift 3.626 (VLT)
070714B	64	7.2	0.9	2.7	0.2	1.36, PL	0.19	03:51:22.23	28:17:51.2	0.92 (Gemini: emission, from host)
070612A	368.800	106.00	6.01	1.51	0.38	1.69, PL	0.10	n/a	n/a	0.617 (Gemini North: emission)
070611	12.200	3.91	0.57	0.82	0.21	1.66, PL	0.22	00:07:58.12	-29:45:20.4	2.04 (VLT)
070529	109.200	25.70	2.45	1.43	0.36	1.34, PL	0.16	18:54:58.27	20:39:33.7	2.4996 (Gemini North: absorption)
070521	37.900	80.10	1.77	6.53	0.27	1.1, CPL	-0.2/0.2	16:10:38.62	30:15:22.4	0.553 (Subaru: emission)
070508	20.900	196.00	2.73	24.10	0.61	1.1, CPL	-0.1/0.1	20:51:11.81	-78:23:04.9	0.82 (VLT: emission, tentative)
070506	4.300	2.10	0.23	0.96	0.13	1.73, PL	0.17	23:08:52.31	10:43:20.8	2.31 (VLT: absorption)
070429B	0.470	0.63	0.10	1.76	0.24	1.72, PL	0.23	21:52:03.81	-38:49:42.0	0.904 (Keck I: from probable host)
070419A	115.600	5.58	0.83	0.20	0.10	2.35, PL	0.25	12:10:58.84	39:55:31.2	0.97 (Keck I: absorption)
070411	121.500	27.00	1.55	0.91	0.13	1.72, PL	0.10	07:09:20.01	01:03:52.3	2.954 (VLT: absorption)
070318	74.600	24.80	1.12	1.76	0.15	1.42, PL	0.08	03:13:56.77	-42:56:47.3	0.836 (VLT: absorption)|0.840 (Gemini/Magellan: absorption)
070306	209.500	53.80	2.86	4.07	0.21	1.66, PL	0.10	09:52:23.29	10:28:55.5	possible redshift:|1.497 (VLT: emission)
070208	47.700	4.45	1.01	0.90	0.22	1.94, PL	0.36	13:11:32.61	61:57:54.3	1.165 (Gemini-North: emission)
070129	460.600	29.80	2.67	0.55	0.12	2.01, PL	0.15	02:28:00.98	11:41:03.4	2.3384 (TOUGH: emission)
070110	88.400	16.20	1.08	0.60	0.12	1.58, PL	0.12	00:03:39.38	-52:58:28.1	2.352 (VLT: absorption)
070103	18.600	3.38	0.46	1.04	0.15	1.95, PL	0.21	23:30:13.80	26:52:34.4	2.6208 (TOUGH: emission)
061222B	40.000	22.40	1.83	1.59	0.36	1.97, PL	0.13	07:01:24.67	-25:51:35.2	3.355 (Magellan: absorption)
061222A	71.400	79.90	1.58	8.53	0.26	1.35, PL	0.04	23:53:03.45	46:31:57.7	2.088 (Perley)
061217	0.210	0.42	0.07	1.49	0.24	0.86, PL	0.30	10:41:39.10	-21:07:26.9	0.827 (Magellan: emission)
061210	85.300	11.10	1.76	5.31	0.47	1.56, PL	0.28	n/a	n/a	0.41 possible host redshift (Keck: emission)
061201	0.760	3.34	0.27	3.86	0.31	0.81, PL	0.15	22:08:32.30	-74:34:48.3	0.111 (Magellan, from probable host)
061121	81.300	137.00	1.99	21.10	0.46	1.41, PL	0.03	09:48:54.59	-13:11:42.1	1.314 (Keck I: absorption)
061110B	134.000	13.30	1.21	0.45	0.11	1.03, PL	0.16	21:35:40.48	06:52:32.8	3.44 (VLT)
061110A	40.700	10.60	0.76	0.53	0.12	1.67, PL	0.12	22:25:9.89	-02:15:30.4	0.758 (VLT: emission)
061021	46.200	29.60	1.01	6.11	0.27	1.30, PL	0.06	09:40:36.11	-21:57:05.3	0.3463 (Fynbo)
061007	75.300	444.00	5.62	14.60	0.37	1.03, PL	0.03	03:05:19.60	-50:30:02.4	1.261 (Magellan Clay: absorption)|1.262 (VLT: absorption)
060927	22.500	11.30	0.68	2.70	0.17	0.9, CPL	-0.4/0.4	21:58:12.05	05:21:49.0	5.6 (VLT: absorption)
060926	8.000	2.19	0.25	1.09	0.14	2.54, PL	0.23	17:35:43.68	13:02:17.1	3.208 (VLT: absorption)
060912A	5.000	13.50	0.62	8.58	0.44	1.74, PL	0.09	00:21:08.13	20:58:18.5	probably host redshift:|0.937 (VLT: emission)
060908	19.300	28.00	1.11	3.03	0.25	1.0, CPL	-0.3/0.3	02:07:18.42	00:20:32.2	1.8836 (Fynbo)
060906	43.500	22.10	1.36	1.97	0.28	2.03, PL	0.11	02:43:00.88	30:21:42.7	3.685 (VLT: absorption)
060904B	171.500	16.20	1.43	2.44	0.21	1.64, PL	0.14	03:52:50.54	-00:43:30.1	0.703 (VLT: absorption)
060814	145.300	146.00	2.39	7.27	0.29	1.53, PL	0.03	14:45:21.36	20:35:09.2	0.84 (Keck I: emission, from host)
060729	115.300	26.10	2.11	1.17	0.13	1.75, PL	0.14	06:21:31.79	-62:22:12.4	0.54 (VLT, Gemini South: absorption)
060719	66.900	15.00	0.91	2.16	0.20	1.91, PL	0.11	01:13:43.70	-48:22:50.6	1.5320 (TOUGH: emission)
060714	115.000	28.30	1.67	1.28	0.13	1.93, PL	0.11	15:11:26.46	-06:33:58.8	2.71 (VLT: absorption)
060708	10.200	4.94	0.37	1.94	0.14	1.68, PL	0.12	00:31:13.80	-33:45:32.6	Z<2.3 (VLT)
060707	66.200	16.00	1.51	1.01	0.23	0.6, CPL	-0.6/0.7	23:48:19.07	-17:54:18.0	3.43 (VLT: absorption)
060614	108.700	204.00	3.63	11.50	0.74	2.02, PL	0.04	21:23:32.12	-53:01:36.6	0.13 (Gemini: emission)|0.125 (VLT: emission)
060607A	102.200	25.50	1.12	1.40	0.13	1.47, PL	0.08	21:58:50.41	-22:29:47.0	3.082 (VLT: absorption)
060605	79.100	6.97	0.90	0.46	0.12	1.55, PL	0.20	21:28:37.31	-06:03:30.7	3.8 (ANU: absorption)|3.7 (SALT: absorption)|3.78 (Calar Alto)
060604	95.000	4.02	1.06	0.34	0.13	2.01, PL	0.42	22:28:55.04	-10:54:56.2	2.1357 (TOUGH: emission)
060602A	75.000	16.10	1.57	0.56	0.20	1.25, PL	0.16	n/a	n/a	0.787 (VLT: emission, probable)
060526	298.200	12.60	1.65	1.67	0.18	2.01, PL	0.24	15:31:18.33	00:17:05.4	3.21 (Magellan: absorption)
060522	71.100	11.40	1.11	0.55	0.15	1.56, PL	0.15	21:31:44.88	02:53:10.1	5.11 (Keck I: absorption)
060512	8.500	2.32	0.40	0.88	0.20	2.48, PL	0.30	13:03:05.81	41:11:26.3	0.4428 (Keck I: emission)
060510B	275.200	40.70	1.76	0.57	0.11	1.78, PL	0.08	15:56:29.26	78:34:11.6	4.9 (Gemini)
060505	~4	9.44	1.71	2.65	0.63	1.29, PL	0.28	22:07:03.32	-27:48:53.0	0.089 (Gemini: emission)
060502B	0.131	0.40	0.05	0.62	0.12	0.98, PL	0.19	18:35:45.23	52:37:53.5	0.287 (Keck I-candidate: absorption)
060502A	28.400	23.10	1.02	1.69	0.21	1.46, PL	0.08	16:03:42.47	66:36:02.6	~1.51 (Gemini: absorption)
060418	103.100	83.30	2.53	6.52	0.35	1.70, PL	0.06	15:45:42.64	-03:38:20.4	1.490 (Magellan: absorption)|1.489 (VLT: absorption)
060223A	11.300	6.73	0.48	1.35	0.18	1.74, PL	0.12	03:40:49.56	-17:07:49.7	4.41 (Keck: absorption)
