GRB	BAT T90 [sec]	BAT Fluence (15-150 keV) [10^-7 erg/cm^2]	BAT Fluence 90% Error (15-150 keV) [10^-7 erg/cm^2]	BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]	BAT 1-sec Peak Photon Flux 90% Error (15-150 keV) [ph/cm^2/sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	BAT Photon Index 90% Error (15-150 keV)	XRT RA (J2000)	XRT Dec (J2000)	Redshift
201014A	36.2	3.1	0.7	0.3	0.2	2.55, PL	0.37	01:23:11.09	27:39:36.9	4.56 (GTC)
200829A	13.04	510	10	98.7	1.6	0.83, PL	0.03	16:44:49.42	72:19:45.2	1.25 (UVOT-XRT: photometric)
200522A	0.62	1.1	0.1	1.5	0.2	1.45, PL	0.17	00:22:43.68	-00:16:59.4	0.4 (SDSS: photometric)
200205B	458.0	54	2	2.0	0.2	1.36, CPL	0.22	07:11:09.02	-56:29:14.8	1.465 (VLT: absorption and emission)
191221B	48.00	190	10	4.8	0.7	1.24, PL	0.05	10:19:19.17	-38:09:27.4	1.19 (UVOT), 1.148 (VLT: absorption)
191019A	64.35	100	3	5.7	0.4	2.25, PL	0.05	22:40:5.86	-17:19:41.3	0.248 (NOT: absorption)
191011A	7.37	3.3	0.4	1.8	0.2	1.94, PL	0.17	02:58:54.71	-27:50:43.4	1.722 (VLT)
191004B	37.7	25	1	5.0	0.2	1.10, PL	0.08	03:16:49.01	-39:38:05.4	3.503 (VLT: absorption)
190829A	58.2	64	7	18.0	2.7	2.56, PL	0.21	02:58:10.51	-08:57:29.3	0.0785 (GTC: absorption & emission from SDSS J025810.28-085719.2)| 0.078 (Keck I: emission from host)
190719C	185.7	51	3	5.5	0.3	1.64, PL	0.09	16:00:49.65	13:00:00.0	2.469 (VLT: emission, host)
190627A	1.60	0.99	0.22	1.1	0.3	2.38, PL	0.38	16:19:18.73	-05:17:20.5	1.942 (VLT: absorption)
190324A	28.4	72	2	11.9	0.5	1.46, PL	0.06	03:18:27.77	-47:12:54.1	1.1715 (VLT: absorption)
190114C	361.5	830	10	101.0	1.5	1.43, PL	0.02	03:38:01.18	-26:56:47.8	0.42 (NOT: absorption)|0.4245 (GTC)|0.4250 (ESO-VLT UT2: absorption & emission)
190114A	66.6	8.0	1.2	0.5	0.2	2.06, PL	0.22	04:22:10.54	02:11:29.1	3.3765 (VLT: absorption)
190106A	76.8	60	2	5.5	0.3	1.43, CPL	0.21	01:59:31.23	23:50:43.8	1.86 (Xinglong: absorption)| 1.86 (GMG: absorption)|1.859 (VLT: absorption)
181213A	15.31	15	2	2.1	0.6	1.57, PL	0.20	16:33:04.83	78:29:49.1	<2.4 (NOT: inferred)
181110A	138.4	99	3	3.7	0.3	2.02, PL	0.05	20:09:16.32	-36:53:48.2	1.505 (VLT: absorption)
181020A	238.0	81	3	7.7	0.3	1.25, PL	0.06	00:55:55.78	-47:22:50.4	2.938 (VLT: absorption)
181010A	16.4	6.9	0.7	1.4	0.2	1.52, PL	0.15	03:30:16.82	-23:02:16.6	1.39 (VLT: absorption & emission)
180728A	8.68	296	6	132.0	2.9	1.97, PL	0.03	16:54:15.59	-54:02:40.2	0.117 (VLT: absorption)
180720B	n/a	860	10	67.9	2.6	1.36, PL	0.03	00 02 06.86	-02:55:08.1	0.654 (VLT: absorption)
180624A	486.4	58	3	1.4	0.2	1.91, PL	0.10	21:12:23.39	-02:20:17.0	2.855 (LBT: absorption)
180620B	198.8	100	3	3.6	0.2	1.30, CPL	0.20	23:50:05.10	-57:57:44.8	1.1175 (VLT: absorption)
180510B	134.3	21	2	1.2	0.2	2.00, PL	0.17	05:11:52.57	-62:19:27.0	1.305 (VLT: absorption)
180404A	35.2	13	1	1.3	0.2	1.95, PL	0.12	05:34:11.74	-37:10:04.8	1.000 (VLT: absorption)
180329B	210.0	33	3	1.4	0.4	0.97, CPL	0.56	05:31:36.91	-23:41:27.4	1.998 (VLT: absorption)
180325A	94.1	65	2	9.4	0.3	1.18, PL	0.05	10:29:42.57	24:27:48.9	2.25 (NOT: absorption)| 2.248 (VLT: absorption)
180314A	51.2	110	4	7.9	0.6	0.83, CPL	0.25	06:37:03.70	-24:29:46.5	1.445 (VLT: absorption)
180205A	15.5	10	1	3.4	0.3	2.04, PL	0.13	08:27:16.72	11:32:31.6	1.409 (VLT: absorption)
180115A	40.9	7.6	1.1	0.6	0.2	1.66, PL	0.22	00:48:09.32	-15:37:50.5	2.487 (GTC)
171222A	174.8	19	2	0.7	0.2	2.07, PL	0.17	09:53:06.64	35:37:35.9	2.409 (GTC: absorption)
171205A	189.4	36	3	1.0	0.3	1.41, PL	0.14	11:09:39.50	-12:35:18.6	0.0368 (VLT: emission & absorption)
171020A	41.9	12	1	0.7	0.2	1.04, PL	0.20	02:36:59.61	15:12:14.9	1.87 (NOT: absorption)
170903A	29.2	24	2	3.9	0.5	1.94, PL	0.12	16:58:06.24	34:58:44.7	0.886 (GTC: emission from host)
170714A	n/a	28	3	0.4	0.2	1.76, PL	0.17	02:17:23.97	01:59:29.0	0.793 (GTC: emission from host)
170705A	217.3	95	3	13.9	0.4	1.65, PL	0.05	12:46:48.96	18:18:25.4	2.010 (GTC: absorption)
170607A	n/a	75	3	n/a	n/a	1.61, PL	0.07	00:29:27.82	09:14:35.7	0.557 (GTC: emission)
170604A	26.70	51	4	4.2	0.9	1.31, PL	0.12	22:50:37.49	-15:24:44.4	1.329 (GTC: absorption)
170531B	164.13	20	2	0.8	0.2	1.95, PL	0.14	19:07:32.09	-16:25:07.9	2.366 (GTC: absorption)|Consistent with GTC results (WHT)
170519A	216.4	11	2	0.7	0.1	1.94, PL	0.26	10:53:42.50	25:22:26.8	0.818 (GTC: absorption)
170405A	164.7	37	3	n/a	n/a	1.59, PL	0.12	14:39:18.66	-25:14:36.2	3.510 (GTC: absorption)
170202A	46.2	33	1	4.7	0.3	1.68, PL	0.07	10:10:03.46	05:00:41.0	3.645 (GTC: absorption and emission)|3.65 (Xinglong: absorption)|3.645 (VLT: absorption and emission)
